Player,PID,Pos,Week,Tm,Cmp,Att,PassYds,PassTD,Int,Sacked,YardsLostSack,PassLng,Rate,Att,RushYards,RushTD,RushLng,Tgt,Rec,RecYds,RecTD,RecLng,Fmb,FL,Snap,Snap%,PprFP
Kenny Pickett,PickKe00,QB,8,PIT,25,38,191,0,1,6,38,25,66.9,7,37,0,11,0,0,0,0,0,2,1,76,100%,9.34
Najee Harris,HarrNa00,RB,8,PIT,1,1,4,0,0,0,0,4,83.3,8,32,0,18,6,6,26,0,9,0,0,54,71%,11.96
Chase Claypool,ClayCh01,WR,8,PIT,1,1,1,1,0,0,0,1,118.7,0,0,0,0,6,4,45,0,25,0,0,61,80%,12.54
Jaylen Warren,WarrJa01,RB,8,PIT,0,0,0,0,0,0,0,0,,6,50,0,19,3,3,25,0,15,0,0,22,29%,10.5
Steven Sims,SimsSt00,WR,8,PIT,0,0,0,0,0,0,0,0,,2,21,0,11,3,2,-1,0,2,0,0,11,14%,4
Pat Freiermuth,FreiPa00,TE,8,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,57,0,21,0,0,47,62%,9.7
Diontae Johnson,JohnDi01,WR,8,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,35,0,14,0,0,72,95%,8.5
Derek Watt,WattDe00,FB,8,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,1,5,0,0,3,4%,8.6
Zach Gentry,GentZa00,TE,8,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,29,38%,1.3
George Pickens,PickGe00,WR,8,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,65,86%,0
Jalen Hurts,HurtJa00,QB,8,PHI,19,28,285,4,0,3,18,43,140.6,2,10,0,8,0,0,0,0,0,0,0,46,81%,28.4
Gardner Minshew II,MinsGa00,QB,8,PHI,1,2,23,0,0,0,0,23,91.7,1,-1,0,-1,0,0,0,0,0,0,0,11,19%,0.82
Miles Sanders,SandMi01,RB,8,PHI,0,0,0,0,0,0,0,0,,9,78,1,21,0,0,0,0,0,0,0,29,51%,13.8
Boston Scott,ScotBo02,RB,8,PHI,0,0,0,0,0,0,0,0,,7,21,0,8,0,0,0,0,0,0,0,13,23%,2.1
Kenneth Gainwell,GainKe00,RB,8,PHI,0,0,0,0,0,0,0,0,,1,3,0,3,1,1,8,0,8,0,0,14,25%,2.1
A.J. Brown,BrowAJ00,WR,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,156,3,43,0,0,39,68%,42.6
Dallas Goedert,GoedDa00,TE,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,64,0,17,0,0,42,74%,12.4
Zach Pascal,PascZa00,WR,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,57,1,34,0,0,23,40%,13.7
