Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Pred Targets,Pred Receptions,Pred Receiving Yards,Pred Snap%,Pred Tds
Russell Gage,5,6,2,20,73,0,Russell Gage,6,4,2,20,76,0,Russell Gage,7,5,4,39,61,0,6.0,4.0,48.0,74.0,0.0
Breshad Perriman,1,3,0,0,42,0,Breshad Perriman,2,5,3,45,75,1,Breshad Perriman,3,4,3,44,72,0,5.0,3.0,40.0,64.0,0.0
Noah Brown,5,2,1,5,76,0,Noah Brown,6,3,1,10,91,0,Noah Brown,7,7,5,50,79,0,6.0,4.0,50.0,82.0,0.0
CeeDee Lamb,5,8,5,53,93,0,CeeDee Lamb,6,10,5,68,93,0,CeeDee Lamb,7,6,4,70,83,0,8.0,5.0,67.0,90.0,0.0
Jerry Jeudy,5,8,3,53,84,0,Jerry Jeudy,6,7,3,54,91,0,Jerry Jeudy,7,11,7,96,89,0,7.0,4.0,59.0,85.0,0.0
Courtland Sutton,5,11,5,74,93,0,Courtland Sutton,6,3,2,14,100,0,Courtland Sutton,7,9,3,23,91,0,8.0,5.0,58.0,93.0,0.0
KJ Hamler,5,2,1,10,53,0,KJ Hamler,6,3,2,44,57,0,KJ Hamler,7,4,1,4,58,0,4.0,3.0,35.0,60.0,0.0
D.K. Metcalf,5,8,5,88,96,1,D.K. Metcalf,6,7,2,34,81,0,D.K. Metcalf,7,2,1,12,28,0,7.0,4.0,56.0,87.0,0.0
Tyler Lockett,5,6,5,104,96,2,Tyler Lockett,6,5,2,17,81,0,Tyler Lockett,7,8,7,45,65,0,7.0,4.0,53.0,89.0,0.0
Marquise Goodwin,3,5,2,31,42,0,Marquise Goodwin,6,2,2,26,46,0,Marquise Goodwin,7,5,4,67,54,2,4.0,2.0,30.0,51.0,0.0
Mike Williams,5,13,10,134,85,0,Mike Williams,6,6,2,17,94,0,Mike Williams,7,9,7,86,76,1,8.0,5.0,59.0,90.0,0.0
DeAndre Carter,5,2,2,9,59,0,DeAndre Carter,6,5,3,17,73,0,DeAndre Carter,7,7,3,37,94,0,6.0,4.0,47.0,69.0,0.0
